#timestamp [ns], temperature [degC], w_RS_S_x [rad s^-1], w_RS_S_y [rad s^-1], w_RS_S_z [rad s^-1], a_RS_S_x [m s^-2], a_RS_S_y [m s^-2], a_RS_S_z [m s^-2]
0,22.28,0.0,0.0,0.0,-0.32373,-0.23544,9.819809999999999
5050505,22.28,0.0,0.0,0.0,-0.27468000000000004,-0.26487,9.83943
10101010,22.28,0.0,0.0,0.0,-0.28449,-0.27468000000000004,9.81
15151515,22.28,0.0,0.0,0.0,-0.31392000000000003,-0.26487,9.84924
20202020,22.28,0.0,0.0,0.0,-0.30411,-0.25506,9.819809999999999
25252525,22.28,0.0,0.0,0.0,-0.27468000000000004,-0.24525000000000002,9.81
30303030,22.28,0.0,0.0,0.0,-0.2943,-0.27468000000000004,9.81
35353535,22.28,0.0,0.0,0.0,-0.30411,-0.24525000000000002,9.83943
40404040,22.28,0.0,0.0,0.0,-0.28449,-0.25506,9.82962
45454545,22.28,0.0,0.0,0.0,-0.33354000000000006,-0.26487,9.81
50505050,22.28,0.0,0.0,0.0,-0.30411,-0.25506,9.819809999999999
55555555,22.28,0.0,0.0,0.0,-0.2943,-0.25506,9.82962
60606060,22.28,0.0,0.0,0.0,-0.27468000000000004,-0.27468000000000004,9.819809999999999
65656565,22.28,0.0,0.0,0.0,-0.28449,-0.24525000000000002,9.83943
70707070,22.28,0.0,0.0,0.0,-0.30411,-0.21582,9.81
75757575,22.28,0.0,0.0,0.0,-0.28449,-0.25506,9.81
80808080,22.28,0.0,0.0,0.0,-0.31392000000000003,-0.27468000000000004,9.81
85858585,22.28,0.0,0.0,0.0,-0.31392000000000003,-0.24525000000000002,9.819809999999999
90909090,22.28,0.0,0.0,0.0,-0.26487,-0.22563,9.819809999999999
95959595,22.28,0.0,0.0,0.0,-0.30411,-0.26487,9.819809999999999
101010100,22.28,0.0,0.0,0.0,-0.32373,-0.23544,9.819809999999999
106060605,22.28,0.0,0.0,0.0,-0.2943,-0.22563,9.819809999999999
111111110,22.28,0.0,0.0,0.0,-0.28449,-0.28449,9.83943
116161615,22.28,0.0,0.0,0.0,-0.31392000000000003,-0.22563,9.81
121212120,22.28,0.0,0.0,0.0,-0.30411,-0.23544,9.84924
126262625,22.28,0.0,0.0,0.0,-0.2943,-0.26487,9.82962
131313130,22.28,0.0,0.0,0.0,-0.30411,-0.24525000000000002,9.83943
136363635,22.28,0.0,0.0,0.0,-0.27468000000000004,-0.23544,9.83943
141414140,22.28,0.0,0.0,0.0,-0.28449,-0.23544,9.819809999999999
146464645,22.28,0.0,0.0,0.0,-0.30411,-0.27468000000000004,9.81
151515150,22.28,0.0,0.0,0.0,-0.28449,-0.23544,9.819809999999999
156565655,22.28,0.0,0.0,0.0,-0.27468000000000004,-0.25506,9.83943
161616160,22.28,0.0,0.0,0.0,-0.27468000000000004,-0.26487,9.81
